Sleeping,Eating
Eating,Working
Working,Commuting
Commuting,Relaxing
Relaxing,Sleeping
Sleeping,Cooking
Cooking,Eating
Eating,Studying
Studying,Reading
Reading,Relaxing
Relaxing,Socializing
Socializing,Gaming
Gaming,Relaxing
Relaxing,Sleeping
Sleeping,Eating
Eating,Working
Working,Exercising
Exercising,Relaxing
Relaxing,Cooking
Cooking,Eating
Eating,Commuting
Commuting,Shopping
Shopping,Relaxing
Relaxing,Sleeping
Sleeping,Working
Working,Studying
Studying,Socializing
Socializing,Eating
Eating,Relaxing
Relaxing,Gaming
Gaming,Sleeping
Sleeping,Cooking
Cooking,Eating
Eating,Working
Working,Commuting
Commuting,Relaxing
Relaxing,Exercising
Exercising,Eating
Eating,Sleeping
Sleeping,Studying
Studying,Reading
Reading,Socializing
Socializing,Relaxing
Relaxing,Shopping
Shopping,Commuting
Commuting,Working
Working,Eating
Eating,Sleeping
Sleeping,Relaxing
Relaxing,Cooking
Cooking,Eating
Eating,Gaming
Gaming,Socializing
Socializing,Relaxing
Relaxing,Sleeping
Sleeping,Working
Working,Exercising
Exercising,Commuting
Commuting,Relaxing
Relaxing,Eating
Eating,Cooking
Cooking,Sleeping
Sleeping,Studying
Studying,Working
Working,Socializing
Socializing,Relaxing
Relaxing,Gaming
Gaming,Eating
Eating,Sleeping
Sleeping,Shopping
Shopping,Commuting
Commuting,Working
Working,Relaxing
Relaxing,Reading
Reading,Studying
Studying,Eating
Eating,Sleeping
Sleeping,Exercising
Exercising,Relaxing
Relaxing,Cooking
Cooking,Eating
Eating,Working
Working,Socializing
Socializing,Gaming
Gaming,Relaxing
Relaxing,Sleeping
Sleeping,Commuting
Commuting,Shopping
Shopping,Eating
Eating,Relaxing
Relaxing,Studying
Studying,Working
Working,Exercising
Exercising,Sleeping
Sleeping,Cooking
Cooking,Eating
Eating,Relaxing
Relaxing,Socializing
Socializing,Sleeping
